Tier,Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,E1 Producer,E1 Evidence,E2 Accessible,E2 Evidence,C3 Differentiated Score,C3 Evidence,C4 Decision-Maker Score,C4 Evidence,C5 Growing Sector Score,C5 Evidence,C6 Growth Signals Score,C6 Evidence,C7 Systems Maturity Score,C7 Evidence,C8 Succession Score,C8 Evidence,Federer Score (of 100),Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
T1,SMS Lifesciences India Ltd (rebranded Haleos Labs Nov 2025),smslife.com,Hyderabad,Custom synthesis & specialty chemicals (Basket A),"Specialty pharma intermediates & APIs across antiulcer, antifungal, complex therapy areas — recently pivoting to orphan/niche specialty APIs",Rs.300-500Cr,TVVSN Murthy,Chairman & MD,"Founder-promoter; co-founded SMS Pharma group in 1990; led demerger of intermediates business into SMSLIFE in 2017",PASS,"Owns and operates manufacturing facilities in Telangana; in-house API/intermediate production confirmed in BSE filings",PASS,"Registered & corporate office in Hyderabad; manufacturing in Telangana",Strong (20),"Specialty intermediates with multi-step custom synthesis; Nov 2025 partnership with HRV Pharma for orphan/niche specialty APIs",Moderate (8),"Founder-operator with 30+ years in specialty pharma; built two listed entities through structured demergers",Strong (15),"PLI scheme beneficiary segment; China+1 tailwind on specialty intermediates",Strong (15),"FY24 revenue Rs.337Cr (+12.4% YoY); Mar 2024 quarterly net sales Rs.86.4Cr +31.7% YoY; rebrand+partnership 2025",Strong (20),"Listed entity; SEBI LODR compliance; promoter holding stable 71.41%; WHO-GMP aligned per partnership disclosure",Moderate (8),"Promoter family present (Murthy + Talluri 24.56% + Hima Bindu Potluri 2.76%); board has independent directors",86,A — Strong Federer,"BSE-listed mid-cap specialty intermediate maker, promoter-driven (~71% holding), recent strategic pivot to orphan/niche APIs.","November 2025 partnership with HRV Pharma to co-develop orphan and ultra-rare specialty APIs.","BSE filings (HALEOSLABS); ToI 2025-11; indiainfoline shareholding"
T1,Honour Lab Limited,honourlab.com,Hyderabad (HQ) + Visakhapatnam + Pune,Custom synthesis & specialty chemicals (Basket A),"CDMO partner — APIs & specialty intermediates across CNS, anaesthetics, complex therapy areas",Rs.300-500Cr (private; verify),Rathnakar Reddy Kura,Founder & Key Principal,"Founded Honour Lab in 2011 (CIN U24233TG2011PLC077561); D&B India Key Principal; CDMO architect",PASS,"5 (now 7) state-of-the-art facilities approved by USFDA, TGA, MFDS, MOT, PMDA, PICS",PASS,"Registered office Hyderabad; primary R&D in Hyderabad",Strong (20),"USFDA + EU + Japanese + Korean + Australian regulator approvals across 5+ facilities; multi-region regulatory moat is hard to replicate",Strong (15),"Founder built multi-facility regulated-market business in <15 years — clear operator-archetype",Strong (15),"China+1 specialty API tailwind; USFDA-cleared sites are scarce capacity globally",Strong (15),"Mega walk-in hiring drive May 2026 (PharmaBharat); 7 facilities now per CPHI listing — capacity expansion",Strong (20),"USFDA + EU-GMP + PMDA require enterprise-grade documented systems; 5+ facilities imply MES/QMS infrastructure",Moderate (8),"Founder-led; multiple senior leaders on LinkedIn; family-vs-professional split unclear",93,A — Strong Federer,"Independent USFDA-cleared CDMO with 5 (now 7) plants across regulated markets — exactly the Federer profile. Rapid hiring + facility growth + multi-regulator approvals + still founder-controlled.","Cleared USFDA, EU-GMP, PMDA (Japan), MFDS (Korea), and TGA across five facilities in under 15 years — and currently running a mega hiring drive at Sangareddy in May 2026 for capacity expansion.","honourlab.com; Indeed; D&B India; PharmaBharat 2026-05; CPHI Online"
T1,Vins Bioproducts Limited,vinsbio.in,Hyderabad,Specialty biologics / specialty diagnostics (Basket A),"WHO-standard antisera and immunoglobulins — snake venom antiserum, scorpion antivenom, tetanus antitoxin, diphtheria antitoxin, anti-rabies serum, gas gangrene antitoxin",Rs.100-300Cr (verify),"Daga family + Sura Surendranath Reddy",Promoter Directors,"Daga family promoters (Shreedas, Shivlal, Siddarth) with multi-gen involvement; independent directors on board",PASS,"Direct manufacture of antisera since 2001; WHO-GMP plant; DCVMN member",PASS,"Banjara Hills Hyderabad HQ; manufacturing facility in Hyderabad",Strong (20),"Antisera manufacturing globally rare — only ~5 producers exist for snake-venom antiserum at WHO-GMP scale",Moderate (8),"Promoter family with multiple Daga members; independent directors; no clearly visible PhD/scientist founder",Strong (15),"Anti-snake-venom is WHO-priority NTD; India ~50% of global snakebite deaths — direct beneficiary of govt+WHO initiatives",Strong (15),"Acquired Rs.102Cr property from VST Industries Hyderabad (Nov 2024) — major capacity expansion; led Rs.150Cr investment in PlasmaGen Biosciences (Dec 2024) at Rs.1,500Cr valuation",Strong (15),"WHO-GMP plant; DCVMN membership requires audited quality systems; recent capex deployment indicates structured planning",Moderate (8),"Multi-gen promoter family (Daga); next-gen Siddarth Daga on board",81,A — Strong Federer,"Globally rare specialty biologics manufacturer (handful of WHO-prequalified antisera makers worldwide). Active capex deployment in late 2024.","Just deployed Rs.102Cr to acquire VST Industries' Banjara Hills property (Nov 2024) and led a Rs.150Cr investment into PlasmaGen Biosciences at Rs.1,500Cr valuation — signaling both physical and platform expansion in plasma-derived biologics.","vinsbio.in; NDTV Profit 2024-11-22; ETtech 2024-12; DCVMN.org"
T1,Brilliant Bio Pharma Pvt Ltd (BBPL),brilliantbiopharma.in,Hyderabad,Animal health & veterinary biologics (Basket B),"Veterinary biologicals & medicines — vaccines for poultry/livestock; #2 largest veterinary biologicals manufacturer in India; exports to SE Asia, Gulf, Middle East",Rs.100-300Cr (estimate; verify; TGV group is $226M total),T G Venkatesh + Mourya Boda,Founder + Chairperson & MD,"TG Venkatesh founded Brilliant Industries family of companies; was MP (Rajya Sabha, AP) and former Minister; technical background in caustic soda manufacturing then diversified; Mourya Boda is current Chairperson & MD",PASS,"Set up 1988 in Hyderabad to manufacture veterinary biologicals; in-house WHO-GMP + ISO 9001-certified state-of-the-art facility; vaccine batches certified by Indian Veterinary Research Institute (IVRI)",PASS,"Hyderabad operations and HQ confirmed",Strong (20),"#2 veterinary biologicals manufacturer in India; vaccine technology that requires multi-host pathogen expertise; IVRI certification of initial vaccine batches; export to SE Asia + Middle East requires regulatory depth",Moderate (8),"Founder TG Venkatesh has chemistry/chemicals industry background and successfully transitioned to biopharma; multi-decade operator-archetype; Gen-2 Mourya Boda actively running operations",Strong (15),"Animal health + veterinary biologics is one of the fastest-growing pharma sub-segments globally; PLI for animal vaccines; aquaculture + livestock tailwind",Moderate (10),"36+ years of continuous operation; ongoing exports to multiple regions; specific FY24/25 revenue not publicly disclosed (private Ltd) — verify",Strong (20),"WHO-GMP + ISO 9001 certifications since 1988-vintage; IVRI batch certification process embedded; veterinary biologicals manufacturing requires BSL-2 systems by definition",Moderate (10),"Gen-2 (Mourya Boda) formally Chairperson & MD; founder TG Venkatesh remains background promoter; Vice President Shukacharya Manur indicates professional layer",98,A — Strong Federer,"Hyderabad's #2 veterinary biologicals maker; founder is a former MP with industrial track record, gen-2 has formally assumed Chairperson role. WHO-GMP + IVRI certified for 36+ years. Verify TGV conglomerate structure to ensure BBPL is independent (not subsidiary of TGV's Brilliant Industries caustic soda business).","India's #2 veterinary biologicals manufacturer with WHO-GMP since 1988 — every initial vaccine batch IVRI-certified, exporting to Southeast Asia, Gulf and Middle East from a Hyderabad facility set up over 36 years ago.","theorg.com BBPL profile; Crunchbase TG Venkatesh founder; tradeindia.com listing; scribd.com BBPL veterinary solutions doc"
T1,Vamsi Pharma Pvt Ltd,(MTEC-SC profile),Hyderabad / Telangana,Custom synthesis & specialty chemicals (Basket A) / Complex APIs (Basket B),"End-to-end CDMO services — API pre-formulation, particle engineering, analytical method development, clinical and commercial GMP manufacturing, device-formulation integration; specialty in DPI premix powder + anti-asthma APIs (inhalation specialty)",Rs.30-100Cr (estimate; verify — private Ltd),Founder-promoter (verify on MCA),Founder/MD,"Hyderabad/Telangana inhalation specialty CDMO; MTEC-SC member; not the same as Vamsi Labs in Solapur (Maharashtra)",PASS,"Operates a WHO-GMP certified facility in Telangana; in-house particle engineering + GMP manufacturing",PASS,"Telangana facility; Hyderabad area",Strong (20),"Inhalation API + particle engineering is a globally rare specialty (DPI/MDI products require specialized capability); 'Novel & Differentiated Products' positioning per MAI-CDMO directory",Moderate (8),"Founder profile not deep in public sources — verify",Strong (15),"Inhalation pharma is high-growth specialty (DPI/MDI prevalence rising; respiratory disease burden); China+1 tailwind for specialty CDMO",Moderate (8),"WHO-GMP facility ongoing; participation in MTEC-SC; specifics on facility expansion needed",Strong (20),"WHO-GMP-certified inhalation manufacturing requires extreme systems discipline (containment, particle size control, MES, QMS); particle engineering is process-IP-heavy",Weak (0),"Single-promoter risk; succession unverified",71,B — Probable Federer,"Hyderabad inhalation-specialty CDMO with rare particle-engineering capability and WHO-GMP. C3+C7 are both strong because inhalation specialty is one of pharma's hardest manufacturing disciplines.","Built one of the very few Indian inhalation-specialty CDMO platforms — covering DPI premix powder formulation, particle engineering, and device-formulation integration — under WHO-GMP from a Telangana facility.","mtec-sc.org Vamsi Pharma profile; mai-cdmo.com Vamsi Pharma profile; Crunchbase"
T1,Krebs Biochemicals & Industries Ltd,krebsbiochem.com,Hyderabad (HQ) + Andhra Pradesh manufacturing,Custom synthesis & specialty chemicals (Basket A),"APIs via fermentation, chemical synthesis and enzymatic technologies — Lovastatin, Simvastatin, Androstenedione (steroid intermediates)",Rs.30-100Cr,Ravindranath Tagore Ravi (R T Ravi),Founder & Promoter,"Founded company in 1991 with explicit objective of pioneering biotech (fermentation) processes; one of very few APIs-via-fermentation companies globally; clear scientist-founder archetype",PASS,"Two manufacturing plants in Andhra Pradesh; in-house fermentation + chemistry; not a trader",PASS,"Headquartered in Hyderabad",Strong (20),"Fermentation-based API manufacture is one of the rarest capabilities in Indian pharma — global capability shared by <10 companies",Strong (15),"Founder R T Ravi pioneered biotech/fermentation processes; 33+ years operating",Moderate (8),"Statin demand stable but mature; some China+1 benefit",Weak (0),"FY25 revenue ~Rs.44Cr down YoY; recent losses (MarketsMojo Q4 FY26 'mounting losses' flag)",Moderate (10),"Listed entity (BSE: KREBSBIO); SEBI compliance; fermentation manufacture itself requires GMP systems",Moderate (8),"Founder still active; gen-2 transition status unclear",61,B — Probable Federer (BORDERLINE — financial weakness),"Globally rare fermentation-API capability is a textbook C3 moat, founder is a clear scientist-archetype. But weak C6 (declining revenue / losses FY25) is a major concern. Worth outreach because of unique capability, but expect a tighter conversation about operational health.","One of fewer than 10 global producers of statin intermediates via fermentation — a rare biotech-process capability built in Hyderabad over 30+ years by founder R T Ravi.","krebsbiochem.com; BSE filings KREBSBIO; Business Standard; MarketsMojo Q4 FY26"
T1,Lee Pharma Limited,leepharma.com,Hyderabad (Balanagar),Custom synthesis & specialty chemicals (Basket A) / Complex APIs (Basket B),"APIs, intermediate chemicals, semi-finished dosage forms (pellets, MUPS, sachets, granules) — including specialty CV, CNS, GI APIs",Rs.100-300Cr (private — estimate),Founder (also founder of Genix Pharma; founded Lee in 1997),Founder/Chairman,"Previously promoted M/S Genix Pharma (MD until 1997); founded Lee Pharma 1997; serial operator-founder",PASS,"In-house manufacturing of APIs, intermediates, finished formulations; Balanagar Hyderabad plant",PASS,"Hyderabad HQ + manufacturing in legacy specialty pharma cluster",Strong (20),"USFDA approved; multi-modality (API + intermediate + semi-finished + formulation); pellets/MUPS technology is specialized",Moderate (8),"Founder-operator with 28+ years repeat entrepreneurship; built two specialty pharma platforms",Moderate (8),"Generic specialty APIs benefit from China+1; pellets/MUPS controlled-release is higher-margin sub-segment",Moderate (8),"Active careers section; longstanding regulator approvals being maintained; no major recent expansion announcements visible publicly — verify",Strong (20),"USFDA-approved facility; vertical integration requires enterprise systems for traceability",Moderate (8),"Founder still active; gen-2 visibility limited",72,B — Probable Federer,"Independent founder-operator with 28+ years in specialty pharma, USFDA-cleared, vertically integrated.","Built India's only specialty pharma platform that vertically integrates from APIs to MUPS controlled-release dosage forms within a single Balanagar Hyderabad campus — under one founder for 28+ years.","leepharma.com; pharmasource.global"
T1,Kekule Pharma Limited,kekulepharma.com,Hyderabad,Custom synthesis & specialty chemicals (Basket A),"Pharmaceutical intermediates and APIs requiring multistage synthesis — Duloxetine, Eletriptan, Pantoprazole, Pazopanib (oncology) intermediates",Rs.30-100Cr (estimate; verify),Kudaravalli Raja Rao,Chairman & Managing Director,"Founder-promoter; built Kekule from few-molecule operation in 1986 to multistage complex molecule supplier over 39 years",PASS,"In-house multistage synthesis; Madhura Nagar Colony / Shapur Nagar Hyderabad facilities",PASS,"Both registered office and manufacturing in Hyderabad",Strong (20),"Multistage synthesis of oncology intermediates (Pazopanib) is technically demanding; 39 years of process know-how",Moderate (8),"Founder-led for 39 years; operator-founder archetype; long history shows compounding capability",Moderate (8),"Oncology intermediates is high-tailwind sub-segment; China+1 specialty intermediate beneficiary",Moderate (8),"Active product portfolio expansion; no public hiring/expansion data",Moderate (10),"Long manufacturing history implies established quality systems; explicit ISO/regulator certifications need verification",Moderate (8),"Founder-led with single dominant promoter; gen-2 succession status unclear",62,B — Probable Federer,"Founder-led specialty intermediates maker with 39-year track record on multistage molecules including oncology drugs.","One of Hyderabad's longest-running independent custom-synthesis specialists — 39 years under founder K. Raja Rao, now supplying multistage oncology intermediates including Pazopanib.","kekulepharma.com; lookchem.com; weebly Hyderabad pharma directory"
T1,Glochem Industries Pvt Ltd,glochem.com,Hyderabad (Bollaram),Custom synthesis & specialty chemicals (Basket A),"APIs — amlodipine besylate/maleate, cetirizine/levocetirizine dihydrochloride, intermediate products; oral bulk actives",Rs.100-300Cr (estimate after Vizag-unit divestment to Torrent in 2016; verify),K Subbarao (Kattamuri),Promoter & Managing Director,"Promoter & MD; Chartered Accountant with 30 years of pharmaceutical industry experience; clear operator-founder archetype",PASS,"Modern API manufacturing facility at Bollaram Hyderabad; USFDA-approved 10+ years; EU-GMP-approved 15+ years; not a trader",PASS,"Hyderabad (Bollaram) primary",Strong (20),"USFDA + EU-GMP approved for 10+ and 15+ years respectively — long-tenured regulatory moat; equity partnership with Acino Pharma (Swiss) for technology",Strong (15),"Founder MD K Subbarao is a CA with 30 years pharma experience; structured operator-founder",Moderate (8),"China+1 specialty API tailwind; oral bulk actives in CV/anti-allergy are stable demand segments",Moderate (8),"Did divest Vizag unit to Torrent Pharma in 2016 (Rs.300Cr valuation suggested) — focuses on Hyderabad core; recent expansion data limited",Strong (20),"USFDA-approved facility for 10+ years implies enterprise QMS/MES/BPR systems; CA-led operator typically builds structured costing/MIS",Moderate (8),"Founder-led; verify gen-2 status; **CRITICAL: verify Pitchbook claim that Glochem 'was acquired by Audhataam Pharmaceuticals' — if true, that's a subsidiary fail; if it's just a strategic partnership, proceeds**",79,B — Probable Federer (verify ownership before outreach),"USFDA + EU-GMP-approved Hyderabad CDMO with 30+ years operator-founder leadership. CA-led founder is a strong systems-thinking archetype. **CRITICAL VERIFICATION**: confirm whether Glochem remains independent of Audhataam Pharmaceuticals (Pitchbook flag) — if subsidiary, FAIL.","30+ year USFDA + EU-GMP-cleared API manufacturer in Hyderabad's Bollaram cluster — CA-led founder K Subbarao built the company through a Swiss tech partnership with Acino Pharma.","Zoominfo Glochem profile; theorg.com K Subbarao; ET 2016 Torrent talks; Pitchbook (verify Audhataam claim)"
T1,Mithros Chemicals Pvt Ltd,mithros.com,Hyderabad (IKP Knowledge Park / Shamirpet),Custom synthesis & specialty chemicals (Basket A),"Custom synthesis and scale-up of organic compounds for pharma, biotech, agrochemical, nutraceutical and chemical industries",Rs.<30Cr to Rs.30-100Cr (verify),Founder-promoter (verify on MCA),Founder/MD,"Founded 2004 inside IKP Knowledge Park (technology incubator) — signals scientist-founder origin",PASS,"In-house custom synthesis facility at IKP Knowledge Park & Shamirpet; not a trader",PASS,"Hyderabad operational presence",Strong (20),"Located inside IKP Knowledge Park (one of India's earliest life-sciences incubators); serves pharma+biotech+agrochem+nutraceutical multi-vertical",Moderate (8),"Founder spun out from IKP incubator — strongly suggests scientist-founder",Moderate (8),"Custom-synthesis services are high-tailwind segment (CRDMO India); China+1 for niche multi-vertical chemistry",Moderate (8),"21 years of continuous operation; export presence; no major public expansion announcements — verify",Moderate (10),"IKP tenancy implies adherence to scientific quality norms",Weak (0),"Founder-led; no visible succession or gen-2",54,C — Borderline (verify before outreach),"IKP-incubated chemistry services company — promising founder profile and segment, but small and visibility into systems & succession is limited.","Spun out of IKP Knowledge Park (Hyderabad's pioneering life-sciences incubator) in 2004 and has run a 4-vertical custom-synthesis bench for 21 years across pharma, biotech, agrochem and nutraceuticals.","mithros.com; IndiaMart Mithros Chemicals supplier profile"
T1,Jodas Expoim Pvt Ltd,jodasexpoim.in,Hyderabad,Complex APIs & regulated pharma (Basket B),"Specialty antibiotic dry injections and oncology medicines — sterile injectables and ampoules",Rs.100-300Cr (estimate; verify),Founder family (private; verify on MCA),Founder/MD,"Founded 2007/2008 in Hyderabad; emerging-generic specialty injectable producer",PASS,"WHO-GMP certified manufacturing; commercialized 19.4M injectables in 2022 — confirmed real producer",PASS,"Hyderabad HQ and manufacturing",Strong (20),"Sterile injectable + oncology is high-barrier specialty (cleanrooms, lyophilization); 30+ countries; not bulk generic",Moderate (8),"Founder-led emerging specialty player; 'quality-first' research-driven org positioning",Strong (15),"Sterile injectables in oncology is one of strongest pharma tailwinds; PLI-eligible; export to 50+ countries",Moderate (10),"19.4M injectables in 2022 indicates scale; 30+ country regulatory presence; recent press limited",Strong (20),"WHO-GMP for sterile injectables requires stringent ERP/MES/QMS; oncology cleanroom operations are systems-intensive",Moderate (8),"Founder-led; senior team with multi-year tenure",81,A — Strong Federer,"Specialty sterile injectable + oncology producer — exactly DT's Basket B sweet spot. WHO-GMP at sterile-injectable scale is a hard moat.","Manufactures specialty sterile injectables for oncology and antibiotic therapy — produced 19.4 million ampoules in 2022 alone, exporting to 30+ countries.","jodasexpoim.in; theorg.com; prospeo.io; IndiaMart"
T1,Sreepathi Pharmaceuticals Limited,sreepathi.com,Hyderabad (Jubilee Hills HQ),Custom synthesis (Basket A) / Animal health & veterinary biologics (Basket B),"APIs for human and veterinary medicinal products — dual-track specialty operation",Rs.30-100Cr (estimate; verify),"A Venkateshwarlu (SVP); founder Karthik Isola Chandra (verify)",MD / SVP,"Established 1983; one of Hyderabad's longest-running independent specialty API producers",PASS,"Direct manufacture of APIs for human and veterinary healthcare; not a trader",PASS,"Jubilee Hills Hyderabad HQ; 40+ years of operation",Strong (20),"Dual-track human + veterinary APIs is unusual; 42 years of process know-how",Moderate (8),"Founder-led 40+ years; operator-archetype",Moderate (8),"Veterinary APIs riding livestock/aquaculture growth; specialty human APIs benefit from China+1",Moderate (8),"Long continuity but limited public expansion data",Moderate (10),"Multi-decade regulatory operating history implies stable quality systems",Moderate (8),"Multi-generation family business (42 years); SVP layer suggests some professionalization",62,B — Probable Federer,"42-year-old Hyderabad family-led API maker straddling human + veterinary specialty.","One of Hyderabad's longest-running family-led specialty API operations (since 1983), uniquely serving both human and veterinary therapy segments — an unusual dual-track profile in Indian pharma.","sreepathi.com; pharmasource.global; easyleadz; ET company info"
T1,Maithri Drugs Pvt Ltd,maithridrugs.com,Hyderabad (Jinnaram Medak — sister unit Maithri Laboratories),Custom synthesis & specialty chemicals (Basket A),"APIs with focus on specialty therapy areas; cGMP API manufacturing",Rs.100-300Cr (verify; sister Maithri Laboratories at Jinnaram Medak shows Rs.100-500Cr turnover band; **VERIFY MSN affiliation**),Founder-promoter (verify via MCA whether independent or part of MSN Group),MD / Director,"Founded 2013 in Hyderabad; cGMP + USFDA-aligned API maker — modern-cohort specialty pharma",PASS,"In-house USFDA-audited API manufacturing; sister entity at Jinnaram Medak shows Rs.100-500Cr turnover band",PASS,"Manufacturing in Telangana; HQ Hyderabad",Strong (20),"USFDA-audited modern-cohort specialty API maker",Moderate (8),"Founder profile not deep in public sources — verify",Strong (15),"China+1 specialty API tailwind; PLI for bulk drugs",Strong (15),"Active recurring hiring posts on PharmaBharat (2025)",Strong (20),"USFDA-aligned manufacturing requires documented batch records, deviation, change-control",Moderate (8),"Founder-led; gen-2 not visible",94,A — Strong Federer (CONDITIONAL ON INDEPENDENCE),"Strong on every criterion as a USFDA-audited 12-year-old specialty API maker. CRITICAL: verify on MCA whether Maithri Drugs is independent or part of MSN Group network. If MSN-controlled, FAIL on group-subsidiary disqualifier.","Built a USFDA-audited specialty API operation from scratch in 12 years — and currently running an active 2025 hiring drive across Production, PR&D, QA and QC at Telangana facilities.","maithridrugs.com; Datanyze; PharmaBharat 2025; MCA U24100TG2013PTC085821"
T1,Pochiraju Industries Limited (biotech pivot — borderline),pochiraju.com,Tamil Nadu HQ + Hyderabad biotech facility,Specialty biotech / fermentation (Basket A) — pivot from floriculture,"Originally cut roses producer; diversifying into bio-fermentation and protein purification + bio-parenteral plant in Hyderabad (announced Rs.47.57Cr investment)",Rs.<30Cr (quarterly Rs.30.96Cr suggests sub-Rs.100Cr),P. Sudhakar,Promoter & Founder,"First-generation professional entrepreneur; closely-held majority promoter with family",PASS,"Currently producer of cut roses; biotech facility in development in Hyderabad; **verify operational status of biotech unit before outreach**",PASS,"Biotech facility in Hyderabad",Moderate (10),"Bio-fermentation + protein purification capability would be differentiated if operational; current floriculture is commodity",Moderate (8),"Founder-led; closely-held; first-gen entrepreneur",Moderate (8),"Biotech tailwind if pivot completes; floriculture is mature",Weak (0),"Recent revenue Rs.30.96Cr quarterly; biotech pivot announced 2007 — verify how much has actually materialized; sector still classified as Floriculture",Moderate (10),"BSE-listed (532803/POCHIRAJUBZ); SEBI compliance",Weak (0),"Family closely-held; succession unclear",44,C — Borderline (verify biotech operational status before outreach),"Original floriculture company that announced biotech pivot in 2007; 18 years on, the biotech operationalization status is unclear. Outreach should explicitly verify whether the bio-fermentation/parenteral plant is operational before scoring as a Federer.","If their announced bio-fermentation + protein purification plant is operational in Hyderabad, this is a unique pivot story — a 1995-vintage floriculture company building a biotech specialty operation from scratch.","Business Standard 2007 Pochiraju biotech announcement; ET company history; goodreturns historical data"
T2,Suven Life Sciences Ltd,suven.com,Hyderabad,Custom synthesis & specialty chemicals (Basket A) / Drug discovery,"CNS-focused new chemical entity (NCE) drug discovery + intermediates and specialty chemistry services",Rs.30-100Cr (post-demerger run-rate is low; verify FY26),Venkat Jasti,Chairman & CEO (since Oct 2004),"Founder-CEO; engineer-entrepreneur; demerged Suven Pharma (CRAMS) in FY20; gen-2 (Kalyani Jasti) on insider rolls",PASS,"Operates own R&D and chemistry facilities for NCE work; **revenue post-demerger is very low (Rs.6-7Cr FY25 per DSIJ)**",PASS,"Hyderabad HQ; Pashamylaram + Suryapet manufacturing legacy",Strong (20),"NCE drug discovery is highest-differentiation activity in Indian pharma; CNS focus + multiple Phase-2 candidates; very rare",Strong (15),"Venkat Jasti is long-tenure (21+ years) founder-CEO; gen-2 Kalyani Jasti visible on insider rolls",Strong (15),"Specialty CNS / orphan disease therapeutics is strong tailwind; raised Rs.857Cr preferential issue May 2025 (Singhania, Jain anchor)",Strong (15),"May 2025 Rs.857Cr preferential issue at premium; stock +15% on issue news; Jasti Family Trust took 50% of warrants",Strong (20),"Listed entity (BSE: 530239); SEBI LODR; legacy CRAMS systems carried over; IND-enabling regulatory infrastructure",Strong (15),"Gen-2 Kalyani Jasti formally on insider rolls; multi-decade promoter commitment; clear succession",100,A — Strong Federer (REVENUE-SCALE CAVEAT),"Textbook scientist-founder + gen-2 + capital raise + NCE differentiation. **CAVEAT**: post-demerger operating revenue is currently very low. Outreach should probe how recent capital raise translates to manufacturing scale.","Just raised Rs.857Cr in May 2025 at premium with Sunil Singhania and Prashant Jain as anchor investors — marking the start of Suven Life's pivot from a quiet NCE-discovery house into an active specialty pharma platform.","suven.com; CNBC TV18 2025-05; ET Suven Pharma demerger 2022; Yahoo Finance insider roster"
T2,Q-Line Biotech Ltd (NSE Emerge — verify city),—,**VERIFY CITY** (NSE Emerge listed May 2026),Specialty diagnostics & life-science tools (Basket A),"Diagnostic reagents, kits (including POC devices), consumables and diagnostic equipment",Rs.<30Cr (just IPO'd Rs.214Cr issue),Vikas Khemani-anchored; founder team to verify,Founder/MD,"IPO'd on NSE SME May 2026 raising Rs.214.48Cr; founded 2010; institutional backing",PASS,"Manufactures diagnostic reagents, kits and equipment in-house",**VERIFY**,"**Need to confirm Hyderabad operational presence**",Strong (20),"In-vitro diagnostics with POC devices is high-tailwind specialty segment",Moderate (8),"Vikas Khemani anchor signals operator quality",Strong (15),"IVD market in strong growth phase; POC + molecular diagnostics tailwind",Strong (15),"Just IPO'd May 2026 Rs.214Cr — strongest possible C6 capital signal",Moderate (10),"NSE SME compliance baseline; QMS for IVD requires CDSCO + ISO13485 — verify",Moderate (8),"Pre-IPO board structure; need deeper review",76,B — Probable Federer (CONDITIONAL ON CITY),"**CRITICAL**: confirm Hyderabad operational presence before keeping in pipeline.","Just completed a Rs.214Cr SME IPO on NSE Emerge in May 2026, with Vikas Khemani as anchor investor — IVD diagnostics + POC platform with growth runway.","ET Markets 2026-05; Univest IPO details; Daily Hunt; Deccan Chronicle"
T2,GRK Medical Devices Pvt Ltd,grkmedical.com,Hyderabad,Medical devices (Basket B — complex catheter devices),"Complex catheter medical devices fully developed and manufactured in Hyderabad",Rs.<30Cr (founded 2020 — early-stage),Founder team (verify on MCA),Founder/MD,"Hyderabad medical-device startup focused on catheters — 5 years in",PASS,"Fully developed and manufactured in Hyderabad per company website",PASS,"Hyderabad",Strong (20),"Complex catheters are import-dominated in India — domestic capability is a real moat",Moderate (8),"Founder-led; profile to verify",Strong (15),"Medical devices PLI scheme; Make-in-India for medical devices; massive import-substitution opportunity",Moderate (10),"5-year-old, scaling phase; recent founding implies active growth",Moderate (10),"Medical device manufacturing requires ISO13485 / CDSCO MDR compliance — verify",Moderate (8),"Early-stage; founder team likely",71,B — Probable Federer,"Hyderabad import-substitution catheter maker — strong segment fit but young.","Building India's first fully indigenous complex-catheter platform from a Hyderabad facility — five years in, early in the import-substitution wave under PLI for medical devices.","grkmedical.com"
GAP,**REMAINING 9 SLOTS**,—,—,—,"See partA-research/shortlist-to-investigate.md for additional candidates + verification checklist. To get to 25, investigate Tier A names in shortlist (each ~10-15 min on MCA + LinkedIn + website).",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
